label;text
Positive;fotoğraf makinesi için aldım. fiyatı çok uygundu iki tane aldım. memnunum tavsiye ederim :)) biri makine de biri yedek kolay denk gelmez böyle fırsatlar bence
Positive;Çok hızlı gönderim teşekkürler
Negative;Kesinlike tavsiye etmiyorum.Üst kısımın marka logosu ve fermuar kısımı solda degıl sagda diğerinin tam tersi bu bilebaşlı başına sorun,ayrıca fotografta gosterıldıgı gibi üst kısmın alt yan köşedeki siyah küçük marka logosu yok dikişler kalitesiz pişman oldum...
Positive;cok hizli bir gonderi var ve aldigim urun terlemek icin birebir bir bu fiyatlarada baska yerde bulmak zor bence deneyin derim
Negative;Renkler ve tonlar fotoğraftaki gibi canlı değil, ayrıntılar karartı ve bulanıklıktan dolayı görsel bi katkıda bulunamıyor.
Positive;ürün bugün elime ulaştı bir sıkıntısı yok gayet iyi lazeri çok kısık olmasıda pilin geç bitmesi için çok iyi öneririm.siteye çok tşkler
Positive;f/p ürünü :) alınabılır.güzel içlik
Neutral;Kız evi için bu son gün çok zordur .
Positive;Ana okuluna başlayan kızımın tüm malzemelerini Hepsiburada dan aldım Alış verişe çıkma imkanı olmayanlar tereddütsüz alabilir Satıcıya da teşekkür ediyorum Paketleme ve teslimat çok iyiydi 5 Yıldız helal olsun
Neutral;Kariyerine İngiltere ve İskoçya takımları ile devam etmiştir .
Positive;son yıllarda yapılmış en iyi yerli filmlerden birisi fikret kuşkan resitali var bence fakat annesi rolündeki oyuncu için aynı şeyleri söyleyemeyecegim duygulandık gerildik beklediğimden cok iyi cıktı çağan ırmak tebrikler 8 10
Neutral;Ev sahibi ülke
Negative;Kablosuz ağ kapsama alanını zayıf buldum.
Negative;2 nci hafta kırıldı Tüketici toplumu yaptılar bizi hiç dayanıklı değil
Negative;Bu ürünü daha önce farklı bir yerden alıp kullandım ses süperdi Lakin burdan satın aldığım ürünün ses kalitesi berbat
Negative;alıyım demeyin, sallarken eğilen birşeyden hayır beklemeyin
Positive;ürün güzel 1 gün içinde alıp taktım
Negative;kulağa girmiyor, büyük bi uçla göndermişler, yanında yedek takıcak ucuda yok. fiyatına göre bi şey diyemem, ama 20 dakika civarı dinleyince hafif baş ağrısı yapıyor, bundan önce bütün kulaklıkları deniyen biri olarak aralarında en vasatı bu diyorum sanırım. ayrıca metal/rock dinliyorsanız almayın bassları iyi olduğundan gitarın sesini zor duyuyorsunuz.  kısaca ortanın altı bi kulaklık.
Positive;güzel ürün kuşlarım sevdi kaliteli
Negative;Bunlarin sahte olma şansı var mı ?!! İkidir midemi bulandiriyor içtiğim zaman
Positive;Bir seferde 3 siparişim vardı hepsi geldi bu hala hazırlanıyor dedi en geç elime ulaştı. Ama ürün ederinin üzerinde ve kullanışlı bir ürün kipar ve sipral kalitesi güzel bu fiyata alınır...Saygılar
Positive;Üzerindeki etiket yüzünden 2 yıldız. Sağlam ürüne benziyor. İş görür
Negative;diger calvin klein parfumlerim kalici ama bu parfumu ne kadar cok sıksamda kalici degil ucup gidiyor
Negative;demlik kısmındaki çay koyma sepeti, sıcak suyu koyduktan sonra yerinden çıkıyor, iyi değil
Negative;Sakın almayin sadece bass var tuz ses diye bişi yok igrenc
Neutral;Eylül ayının birinci pazarından sonraki perşembe günü kutlanır .
Negative;Son kullanma tarihine 2 ay kalmış ürün geldi
Negative;İnanılmaz kalitesiz bir ürün. Montajı da dertli. Biraz daha para verip adam gibi bişey alın.
Positive;cok güzel bir film bir Atatürkcü gencin inanilmaz kandirilip yok edilisini anlatiyor muhtesem film bence ve yanlis yollara kayanlar ders cikartmali bu filmden bir atatürkcü düsünen biri olarak filmi herkese tavsiye ederim filmi seyrederken basroldeki gencin atatürk resmini duvardan indirmesine sinirlenmistim ve basroldeki genc yavas yavas ucuruma sürüklendi gercekten inanilmaz acikli güzel film
Positive;kıtabın bu kadar iyi olacagını tahmın etmemıştır, yorumlara bakarak aldım ve şimdi basucu kıtabım...herkese tavsıye ederım, buram buram aşk kokuyor.
Positive;Öncelikle telefon çok ince Dışardan bakıldığında ön tarafı gm6 ya benziyor bence Oyunları en yüksek ayarlarda oynatabiliyor Sarjı hele en memnun kaldığım özelliklerinden biri Otg ve jiroskop var Klavyesi içinde touchpal ı yüklemişler Açınca kendi direk Flyme 7 1 00G versiyonuna yükseltti Play store da PUBG MOBİLE gözükmüyor Parmak izine gelince aşırı hızlı Tek eksiği PUBG oynanmaması ve zip dosyalarını açmaması Bence kesinlikle alınabilecek bir ürün
Positive;1 yıldan fazla zamandır kullanıyoruz cok memnunuz su ısınınca sesli uyarı sistemi cok guzel bitki çayı ozelliğide suyu kaynar yapmadan ısıtıyortam içilecek kıvamda oluyor çeliği parlak şık duruyor
Negative;Bu ürün malzeme kalitesi olarak çok kötü kalitesizim diye bağırıyor Bu paraya da bundan iyisi olur mu bilmiyorum ama yine de 3 5 kuruş fazla verip daha kaliteli bir salıncak almanızı öneririm
Negative;yorumlar kesinlikle insanları yanlış yönlendiriyor şöyle anlatayım kablo kısmı kaliteli olduğundan ve 1 8 m olduğundan biraz ağır ve bu ağırlık telefona takılan metal kısma göre değil metal kısım kalitesiz olduğundan ve bu ağırlık yüzünden kabloyu aldığım ilk gün bozuldu kesinlikle almayın derim 0 9 metreye yönelin
Negative;berbat ötesihayatımızın en iğrenç tatil girişimiydi hedef beach resort hoteli seçmek aylar öncesinden rezervasyon yaptırmamıza rağmen hemde balayı çifti olarak ilk geldiğimiz andan itibaren odamız henüz hazır bile değildi zaten olumsuzluklar da bu andan itibaren başladı giriş katında kilere benzeyen bir oda verdiler tabi kalmak mümkün değil sonra itiraz edince en üst katta başka bir odayla değiştirdiler fakat burda da sıkıntılarımız devam etti yeni verdikleri oda henüz hazır olmadığından yaklaşık bir saat hazırlanmasını bekledik tam hazır derken banyonun kapı kolu elimde kaldı tv ve klima kumandalarının pilleri yok yine bir saat pillerin gelmesini bekledik bir taraftan fenalık getiren bir sıcaklık vardı tabi aksiliklerin arkası kesilmedi sonra asansörler düzgün çalışmıyordu her taraftan amele çıkıyordu otel henüz inşaat aşamasını bitirmemiş çalışanlar da saygı yok yemekte boş masa yok düzgün bir plaj inşa edilmemiş plaj yok kirli bir havuz koca otelin yemekhanesinde bir adet sebil var ve sürekli tüketildiğinden soğuk su yok daha sayamadığım nice aksilikler ve nihayet bir hafta olarak tertiplediğimiz tatile ancak  gün dayanabildik ve ayrılarak evimize döndük  tane yıldızı var sözde bu otelin bu otele bu yıldızları uygyn gören merciyideotel sahiplerinizde kınıyorum ve kesinlikle tavsiye etmiyorum
Positive;Ürün yedek bıçağı ile elime ulaştı az bir uygulama yaptım iş görüyor
Positive;tedarikci değişimi ile firma ile çalıştım hızlı gönderi , güzel paketleme . ürün bilinen ve kaliteli bir ürün. memnuniyet derecem pek iyi.
Negative;19-05-2018 de fatura edilen ürün 31-05-2018 de hala elime geçmedi
Neutral;Beş yıl sonra meydanı koruma projeleri başlatıldı .
Negative;Tarak kafasınızda acayip tarif edemeyeceğim bir suni his bırakıyor malzemesinden kaynaklı sanırım Saç derisini okşamıyor Öyle tarayasınız gelmiyor Ben beğenmedim yeni tarak alıcam Eski olan vardı pazardan almış annem yıllar önce dişlerini birader kırmasaydı çok güzeldide Şimdi zaman modern ama kalite eskilerdeki gibi değil
Positive;Ürünün elime ulaşması uzun sürdü fakat üründen oldukça memnun kaldım, hem karabiber hem de tuz için gayet uygun, tavsiye ederim.
Negative;çok abartılan bir film özgür adamların mücadelesini anlattığını savunan fakat aslında ırkçı bır yaklaşım sunan acımayı ve insani duyguları hiçe sayan bir senaryosu var Beğenmedim Ekşın sahnelerıne gelince özen gösterilmiş ama kan fışkırmaları çok abartı Kill bill deki gibi
Positive;Baskı kalitesi ve dizgisi çok güzel. Fazlasıyla uygun fiyat ve kalite de. okullarmarket isimli satıcıdan aldım, geri dönüş yapmayı borç bildim. emeğinize sağlık diyorum
Positive;bahar çiçekleri aldım yaklaşık bir ay kullandım çok güzel bir kokusu var. üzerinde yoğun veya az koku gelmesi için ayar yeri var.
Negative;ürün su alıyor.
Positive;2001 model station wagon sigara içilen bagajında deniz havlu ve şortları gibi eşyaların bulunduğu ağır kokulu aracımıza ümitsizce aldım Geceleyin tavan ve taban döşemeleri dahil her yere bol miktarda sıktım 250 ml kadar sabahında muhteşem bi kokuyla karşılandım Aktif olarak 1 hafta kadar kalıcı bir kokusu var Sonrasında ise kötü kokulardan arınmış standart bir koku sarıyor aracı Bundan sonra daha az miktarda kullanıyorum 1 şişe sanırım 1 5 2 ay kadar gidecektir Bizim arabanın kokusunu çözdüyse çöplüğe sıksanız çiçek bahçesine döner inanın
Positive;Urunun kokusu cok hos balonlu poset icinde teslim edildi herhangi bir akma olusmamis yolda gayet hizli ve problemsiz bir sevkiyat
Neutral;Bu paraya idare eder bir urun.Iyi kotu isinizi gorecektir.
Negative;5 yıldır severek oynadığım oyunun gün geçdikce paragöz bi oyun haline geldiğini ve hani tamam para kazanma olayını anlıyorum ana bunun dozunun ayarlanması gerekiyo 5 yılda emekle bi yere getirdiğim belli bi seviyeye getirdiğim oyun şimdi yeni başlayan biri 3 5 kuruşa daha iyi bi seviyeye getirebiliyo halbuki ilk zamanlar gayet adil bi oyundu şimdi geldiği seviye üzücü ilk oynayanlardanım belki ama tabi siz paranıza bakarsınız ben ne anlatıyorum ki...!
Negative;10.mayısta verdiğim sipariş 11 mayısta çıkacak denildi ama şimdi mesaj yazmışlar 15 mayısta çıkacakmış. böyle geç olacağını bilseydim başka yerden sipariş verirdim. 1 haftada kargomu gelir
Positive;hocamın önerisi ile aldım Pişman olmadım geliştiren bir kitap
Positive;Uygun fiyat hızlı teslimat tesekkurler
Neutral;Ayrıca Bağımsızlar ve Demokratlar Birliği genel sekreter yardımcısıdır .
Positive;tek kelimeyle muhteşem ömürlük cd
Positive;Öncelikle hızlı kargo 1 günde ulaştı. 43 inch philips marka televizyon için aldım. montajı kolay, malzemesi ortalama, ne iyi ne kötü. montaj bittikten sonra çok hafif öne egildi muhtemelen tv ağırlığı fazla geldi. 43 inch altı düşünenler ve fazla beklentisi olmayıp işimi görsün yeter diyenlere tavsiye olur.
Negative;İmdb puanıyla o kadar zıt bir puanı var ki bir an bizim puana güvendim ama film gerçekten cok kötü İstediği kadar oynayanlar dans etsin ve bunda başarılı olsun ama bu bir film Buna konu da lazım 2 10
Negative;ÜRÜN 20 GÜNDE TESLİM EDİLDİ BELİRTİLEN TESLİM SÜRESİNE BAKIP SAKIN ALMAYIN BENİM GİBİ PİŞMAN OLURSUNUZ
Positive;ürün güzel denedim tavsiye ederim
Positive;Kargo hızlı. Ürün de fiyatına göre gayet güzel, şık kesinlikle tavsiye ederim.
Negative;Tavsiye üzerine bu markanın hem şampuanını hemde losyonunu aldık, piyasaya çıkardıkları ilk ürünlerini bize gönderdiler sanırım..Üretim tarihi 2014 olan ürün göndermişler.Demek ki ürünün satışı pek olmuyor, haliyle 3 yıl öncesinin ürünleri dağıtılıyor hala.Buradan da ürün hakkında ufak da olsa bi fikrimiz oluştu..
Positive;Beklediğim gibi geldi Çok güzel bir ürün
Negative;Çok kalitesiz bir duruşu var ve ayakları çok uzun
Neutral;İçinde çeşitli sanatçılara ait heykeller ve süs havuzları bulunmaktadır .
Positive;Şiirle ve denemeyle ilgisi olanlara özellikle tavsiye ederim
Negative;Bu ürünü haziranda tatil öncesi aldım Alırken çok heveslenmiştim ancak hiçbir parçası işime yaramadı arka cam perdesi çok geniş cama uymadı Bu arada araç Opel Astra Yan perdeler güneşi hiç kesmiyor Yapıştığı için camların açıkmaması da cabası Hele ön güneşlik perdesi tam bir fiyasko Cam vantuzlarıyla tutturuluyor Güneşte ısınmış olacak ki çektim perde elimde kaldı vantuz camda Hepsini attım bagajda duruyor Özetle sadece hayal kırıklığına yaradı
Positive;begendim.yemekleri dışarıya sıçratmıyo muhafazalı tavsiye ederim
Positive;Ben fazla kitap okumayı sevmeyen insanim ama bu kitap çok hoşuma gitti. kitap akıcı.insanin okudukca okiyasi geliyor.
Positive;çok güzel tşk ederimhiç bir ayar yapmadan direkt çalıştıtavsiye ederim
Negative;arada bağlantısı takılıyor tavsiye etmem
Positive;çantada taşımak için ideal ...çok kaba değil.note 3 cihazımı 2 kere rahatlıkla şarj ediyor.bu markanın daha önce farklı pillerini de kullandım.sorunsuz..
Positive;Kaliteli ve güzel bir ürün. Ürünle ilgili ufak bir sorun yaşamıştım. Hepsi burada müşteri hizmetlerine mesaj attım. Hemen geri dönüş yapıp ürünün değişimini sağladılar. Çok teşekkür ediyorum.
Positive;teşekkürler hepsi burada ailesi-:)
Negative;Kendini sinemaya adamak filmler çekmek binlerce eleştiri yapmak isteyen birine filmin ilk yarım saatine göre yorum yapmak ne kadar yakışı kalır bilemem Ama ciddi anlamda bu kadar dayanabildim Öyle bilim kurgu filmlerine karşı bir sert duruşum falan da yok Olsa zaten izlemeye yeltenmem bile Filmdeki ana karakterin bilindik kusursuz ben bir bilginim yani klasikleşmiş amerikan tipi ki bu özelliklere sahipse sinemada teknik anlamda karakter diyemeyiz diyen de henüz hamdır ve tipin sesini zorla boğarak konuşması beni filmin içine alamadı Bir filmin sizi içine alması için taş çatlasa on dakikası vardır Ancak ana tipin benim sinema anlayışıma göre gerçeklikten uzak oluşu klasik HWood sinemasından da sıkılmış olmamın verdiği etki samimi gelmedi Büyük yönetmen Yavuz Turgul un Yol Ayrımı filminden sonra böylesine bir yönetmenin aynı hataya düştüğüne şahit olmak beni üzdü Evet tamam Christopher Nolan bu filmi daha önce çekti
Positive;genelde bilimkurguyu sewmem çok saçma bulurum ama bu film gerçekten çok hoş olmuş filmin sonuna kadar keyifli ve hiç sıkılmadan izledim keşke herkes geçmişine bakıp veryansın edecegıne bu fılmdekı gıbı geçmişe dönme olasılıkları olsa da tertemiz bi gelecek yaşasalar
Positive;Teşekkürler Kapalı kutu sıfır gayet düzgün bir şekilde paketlenmiş
Neutral;Oyuncu birçok alternatif araç ile büyümeye çalışır .
Neutral;Ersamusla ilgili başka filmler varmı böyle bilen varmı
Negative;s10 plus i tek geçerim p 30 pro umdum gibi değil vasat p20 pro dan pek farkı yok sanki sterio bile değil
Positive;arkadaşlar ben aldım geceleri çok ama çok hoş gösteriyo süper bişi bu fiyata hemde hepsi buradada hiç kaçırmayın iyi alışverişler
Positive;Cemal Süreya yı tanımak için göz atılması gereken eserlerden
Negative;33 olması gereken tesbih taşı 32 tane var
Positive;Gayet güzel 4 orta büyüklükte fincan kahve yapabiliyor küçük boy fincanla 5 adet yapabilir fiyatında gayet uygun
Positive;bizim hayatımız dışında dışarıda da bir hayatın var olduğunu ve her hayatın kendi içinde bir hikaye olduğunu anlatıyor.her gün birçok insanla karşılaşıyoruz ve çoğu zaman onların hayat hikayelerini merak ediyoruz.tavsiye ederim okuyun
Positive;İlk defa aldım bu ürünü ama bu markayı daha önce kullanmıştım ve memnun kaldım. Bağışıklığı güçlensin diye aldım. Şu ana kadar iyi gidiyor.Ama hediye yok yani olmadı böyle çünkü ürün adetine göre hediye bırakılıyor yakışmadı bu.Hediye bittiysede etiketi kaldırmanız gerekir birdahaki alişverişi ona göre  yapacağız ki herkese tavsiye ediyorum
Negative;Üründe kullanılan malzeme gerçekten çok kalitesiz Ayaklar tamamen ucuz plastik ve birbiri içine geçerek işaretine dönüşüyor Siz sobanın yerini değiştirmek istediğinizde alttan kendiliğinden düşebiliyor Almanızı tavsiye etmiyorum kesinlikle Metal ayaklı olanlar daha sağlam ve sağlıklı olur bence
Negative;ürün 1 ay kargoya verilemedi ve iptal ettirmek zorunda kaldım. alırken 10 defa düşünün derim!
Positive;İşimi gordu güzel bir urun yeni aldığım etiket tam oturdu kesmedim. Cama yapışınca 1 senede deforme oluyor etiket. Gerektiğinde etiketi takacağım bu sayede
Neutral;Bu nedenle vücut köşeli görünüm kazanır .
Negative;Bu film 1987 yapımı kült Predator filminin yeniden düzenlenmiş bir versiyonu olamaz.Böyle bir şey söylersek tüm Predator film serisine ihanet etmiş oluruz. Senaryo, kurgu, oyunculuk olarak bir şey bulduğumu söyleyemem.Filmde bir giriş bölümü bile yok. Filmde eski Predator filmlerinin ruhu yok. Predator kostümleri öncekilere benzemiyor ve kocaman kafasında komik, eblek bir ifade var. Filmde Adrien Brodynin rol alması bence hata. Çünkü Adrien, hüzünlü ve dram filmlerinin adamı.Böyle bir filmde neden rol aldı anlayamadım. Acaba kendisi, - Bugüne kadar hüzünlü, dram filmlerinde rol aldım, bu benim üzerime etiket gibi yapıştı, biraz da bilim kurgu-korku filmlerinde rol alayım diyorsa bence hata ediyor. Önceki Predator filmlerinde Predatorlerlerin asil bir duruşu vardı. Kendi aralarında kavga etmezlerdi. Bu filmde kendi aralarında kavga ediyorlar. Bu bence yanlış. Kısaca, bu filmde serinin içine etmişler ...
Positive;Ürün kısa sürede elime ulaştı Fiyatını hak eden bir ürün Ayrıca kullanışı rahat ve işlevsel Bu fiyata tercih edilebilecek bir ürün
Positive;bence güzel bir film olmuş özellikle müzikler tam yerli yerinde güzel müzikler seçilmiş drift olması bu seriye değişik bir hava vermiş ve sonundaki sürpriz bunun bir seri olduğunu kanıtlar bir özellik katmış paul walker olmasa da
Positive;harika ürün ekranda hiç cam varmış gibi durmuyor kavisli benim gibi sürekli telefonunu düşüren biri için ideal ve ayrıca fiyatına göre özellikle inanılmaz dokunmatik face id mükemmel çalışıyor bugün indirimdeyken yedek olarak bitane daga alacağım
Positive;çok güzel üflemesi harika teşekkürler
Positive;Efsane geri dondu Uzun zamandir baskisi yoktu Cok degerli bir tarih ani kitabidir Kitapyurdu na tesekkurler sahaftan 30 liralik bir eseri 300 tl ye almak yerine en uygun alternatifi sundugu icin
Positive;Tek ürünle 3 ürün görevi görüyor Saçlarımı ağırlaştırmadı ve tararken krem ve sprey kullanmamama rağmen çok kolay tarandı Ürünü beğendim
Negative;Bu fiyata çok da kaliteli bir ürün beklemiyordum ve gerçekten de beklemediğim kadar varmış. Ayakkabının yanları sadece yapıştırma dikiş yok. Şu geçirmiyor diyen arkadaş da ayakkabı kutusunun altını bir okusun lütfen. Orada yağmurlu havada giymeyin su geçirir diyor. Yine de almak isteyenler üç beş kuruş daha ekleyip daha iyisini alsalar iyi olur diye düşünüyorum.
Positive;güzel kaliteli biraz karmaşık
Neutral;Genel Bölüm ceza hukukunun temel kavramlarını ifade eder .
Negative;her şeyin sesi oyun sistem kulaklık ayarı vs sonda fakat ses çok az geliyor mikrafonda da kariı tarafa cızırtı yapıyor yani ben almanızı önermiyorum
Positive;Akademik olmakla birlikte her kesimin anlayabileceği sıkılmadan okuyabileceği yalın bir dile sahip
Positive;Bu kitapta doğanın bize sunduğu en güzel ot ve sebzelerle nasıl lezzetler yaratabileceğinizi bulacaksınız Eğer sebzeler ve otlarla aranız iyiyse ve nasıl değişik lezzetler tadarım diyorsanız mutlaka alın Çünkü gerçekten çok düzenli ve güzel hazırlanmış bir kitap Adını ilk kez duyduğunuz otlarla yapılmış yemekleri de keşfedeceksiniz
Negative;Aldığım ürün bu idi bambaşka bir ürün yollamışsınız, hemen iade ettim, yazık kargoculara... neden dikkatli yollamıyorsunuz :(
Negative;Ürünü ayakları serin tutar ve hafif diye aldım. Hafif ama ayaklarımı pişirdi resmen. Tabanı çok kalitesiz sert plastikten. Ayak içindeki keçelerden biri sürekli toplanıyor ve rahatsızlık veriyor. Deri olup olmaması konusunda birşey diyemiyeceğim. kokusu yok. Naylondan ayakkabı yapmışlar gibi resmen.
Positive;Sultan papağanım çok sevdi Soluksuz yedi Kaliteli ve taze bir yem
Negative;daha monte ederken bile siyah boyaları dökülmeye başladı ve daha önemlisi ızgaranın ön tarafı rüzgarlık olan taraf değil ızgarasına bir şey koyduğunuzda öne doğru eğiliyor çünkü ön orta kısımda bir destek yok ve ağırlık gelince ızgarası sallanıyor ve yamuk duruyor dolayısı ile etlerin bir bölümü daha çabuk pişiyor bir bölümü daha az pişiyor
Negative;"Arkadaşlar satıcı çalışanları çok iyi tlf bulup görüştüm yardımcı oldular. Ama ürün;hiç satanlar paketi açıp kurulum yapmışlar mı bilmiyorum ama malzeme eksik, bazı parçaların delikleri bile açılmamış. Ayak düşünülmemiş çıplak suntayı direk banyo tabanına koyuyorsunuz.Malzeme a101 satılanlardan daha kalitesiz.Anladım ki ne kadar para o kadar ekmek."
Neutral;Thor onunla mücadele eder ve onu öldürür .
Negative;3-5 kez araç kaldırdım bozuldu yağ kaçırdı vs havasını aldım ama yine aynı
Positive;filimlerini severek izlediğim oyuncunun yaşadıklarını okumak bambaşkaudı kesinlikle tavsiye ederim
Negative;"Güncelleme: Oyunu hâlâ oynuyorum ama son zamanlarda değişiklikler yapıldı. Perili Evi açtıktan sonra üreticiyi kullanmaya başladım, ilk başta iki ürün çıkıyordu. Biri büyülü sandık diğeri ise cadı kazanı. Kazan, iksir üretiyordu; sandık ise büyülü bebek. Birdenbire kazan üretimi iptal edildi, sadece sandık üretiliyor ve max seviyeden sonra hem bebek hem iksir üretmeye başladı. Ördek Yakalamaca üreticisinde de aynı değişiklik eş zamanlı oldu. Bebek oyununa döndü iyice. Siparişler aşırı zorlaştı."
Positive;Kasayı çok güzel paketlemişler ve yanında wireless modem hediye ettiler. Ürün gerçekten harika ve hızlı. İşletim sistemi windows 7 professional kurulu geldi zaten bende onu kuracaktım çok güzel oldu. Tavsiye ederim
Positive;Hastalık sonrası bizi çok iyi toparladı. Harika. Teşekkürler.
Positive;çok sağlam ve kullanışlı harika
Negative;Bardaklar alttan akıtıyor kalite çok kötü mecburen çift bardak kullanıyıorum
Negative;Kırık geldi kalbin yarısı yanıyor yarısı yanmıyor
Positive;guzel oldu telefona mavi rengini aldim tavsiye ederim cok guzel.
Negative;Ürün içerisindeki Vida ve Tapalar uyumsuz Tapa lar Alyan Vidasına uygunken Vidalar ise normal yıldız vida ve hali ile de tapalar vida başlarına olmuyor Konuyu HB ye iletince de Kargo Tutanağı isteniliyor oysa kargo firması bu ürünleri kat lara çıkartmıyor ve bina girişlerinde teslim ediyorlar Ayrıca Tapa ların uyumunu orada denetlemek kimin aklına gelebilir Onun dışında ayrıca gelen ürün normal ceviz değil ve koyu bir renk tonunda Ürünü önermem
Positive;esnek yapisi ve emiciligi sayesinde bebegim cok rahat ediyor. kuruluk sayesinde yaz aylarinda pisik sorunumuz olmadi
Negative;Kendisinden önceki ustaların verdiği eserleri taklit etmekte oldukça başarılı oldu .
Positive;yıllardır bu siteden alışveriş yapıyorum herzaman bilmediğim ürünlerdeyorumlara bakarak almışımdır ve hiç pişman olmadım kullanıcılar bu konuda çok hakli çıkıyor ürünü 1 hafta süresi varken aldım fakat ürünü sipariş ettikten 1 gün sonrası elime ulaştı beklemiyordum hu kadar hızlı kargo ve ürünün sağlamlığına tek dicek sözüm yok ayakkabicilarda zaman kaybetmek yerine her evde bulunması gereken bir urun ilgili magazayada teşekkürler
Positive;keyifle okudum.duygu yüklü bir aşk romanı.bir çok dile çevrilmiş gerçek bir klasik alın okuyun.O
Positive;Ürün elime iyi bir şekilde hepsiexpres tarafından ulaştı Paketleme biraz daha iyi olabilirdi laptop kutusundan büyükbir kutuya daha koymuşlar içinde sallanıyordu aradaki boşlukları doldursalardı daha iyi olurdu Bilgisayara gelecek olursak gayet hafif şık ve sessiz bir bilgisayar Hd ten ara ara ses geliyor ama sinir bozucu değil Windows 10 yüklü bir şekilde geliyor güncellemeleri yapıldıktan aonra perfonmansına diyecek yok Hem iş hem oyun olsun herşeyi rahatlıkla yapabilşrsiniz 8 nesil olması ve 8 çekirdek olması hele birde mx150 ekran kardı mx940 tan bile daha iyi olan ekran jartı 8 gb ram şimdilik fazlasıyla iş görür Bence lenovo bilgisayarda aracı hepsiburada iyi
Negative;beklediğim gibi değildi ben daha farklı düşünmüştüm hiç değilse biraz komiktir diye düşünmüştüm ama komikliği bi kenara bırakırsak fena deil
Negative;Almayın. Tavsiye de etmeyin. Gürültülü ve ömrü 2-3 ay.
Negative;ürün kordonu farklı Lamba spikerliği cam değil plastik Ürünü begenmedim
Negative;abro kullananı 10 gün oldu hala bir etkisini göremedim
Positive;kalite verilrn paraya göre iyi sallayınca hafiften kum sesi geliyor ama gayet yeterli arkadaşlar hızlı sevkiyat için teşekkürler
Positive;Bildik markalarda bu kalitede bir yatak almaya kalkin magazadan en az 2 hatta 3 kati fiyati gozden cikarmalisiniz, fiyatinin cok uzerinde bir yatak kesinlikle, kimisi koku var demis hic bir koku almadim , yatak sert bunu bilerek alin , tereddut edenler varsa kalitesinden fazla dusunmesine gerek yok, ben de yorumlara bakarak aldim memnunum... kargo gec geliyor bunu da goz onunde bulundurun 10 gune yakin bir surede geliyor
Neutral;Arginin katkılı şampuanlara tonlarca para ödemek yerine direk hapını almak daha mantıklı. Geçen sene masamda saçlar olurdu yerlerde de keza, yazın spor için destekleyici olması için kullanmıştım birkaç supplement dün farkettik ki saçlarım dökülmüyor eskisi gibi.
Positive;Ürün başarılı gerçekten tavsiye ederim
Positive;Ürün evdeki Lg 4k 3d Smart Tv ve Lg 3d Hd Televizyonumda tüm fonksiyonları çalışıyor Orjinal kumandamı bozmamak için aldım memnunum ürün yanında gönderdikleri şekerleri yedim kısa sürede ürün elime geçti 4 yıldız verdim tuşlar biraz sert gibi geldi
Negative;Ürnü beklediğim performansı vermediği için hayal kırıklığı yaşadım halı üzerinde hareket kabiliyeti çok yetersiz ve emiş kontrolü olmaması da ayrıca bir eksiklitir Hepsiburada coma ürünü paketleme ve teslimat süresi çok iyi teşekkür ederim
Negative;"Bu tarz filmleri protesto etmek gerektiği görüşündeyim.Devrimcilerle alay etme mantıksızlığı üzerinden oluşturulmaya çalışılan saçma sapan metinlerin yazılımıyla ortaya dökülen anlamsız,kalitesiz,emeksiz bir film.&quot;lanet olsun içimdeki sinema sevgisine&quot;"
Negative;Ürün çok kalitesiz şarj aletim için aldım fakat çok kolay bir şekilde çıkıyor bantla yapıştırıp kullanmak zorunda kaldım
Neutral;Ürün olarak değil fakat muhatap bulma konusunda tavsiye etmiyorum
Positive;Buzdolabini şantiye içerisinde konteyner içinde kullanilmak üzere satin aldim Konteyner içi baya sicak olmasina rağmen sicak ortam icerisinde soğutma performansi çok iyi Isteklerimi karşiliyor Bu nedenle satin alacak arkadaşlara tavsiye ediyorum Satiş fiyati da diğer rakiplerine göre indirimli olmasi baska bir artisi diyebilirim Ürün nakliyesi biraz gec oldu
Positive;ÜRÜN GÜZELL SATICI DAHA GÜZEL TEBRIKLER KORAY SPOR .
Negative;çok basit bir film yapmışlar...film senaryosu 1970 lerde bir çok filmde var...iğrenç bir film...bence izleyip zaman kaybetmeyin...2/10
Positive;lg g4 marka telefonumu 2 5 kez şarj ediyor güzel ürün beğendim tavsiye ederim
Positive;Çocuklara okuma alışkanlığı kazandırmak, bu alışkanlığı kazandırırken onlar için zararlı olmayacak şeyler okumaları önemli. Bu seri kitaplar çocuklara uygun . Tavsiye edilir.
Neutral;yazarın ilk önce böğürtlen kışı adlı kitabını okudum ikisi kıyaslandığında mart menekşeleri biraz basit kalmakta bir günde okudum çok iddalı bir anlatım ve konu değil anneannesinin geçmişini ve aşkını arayan ve anlatan bir roman çok dikkatimi çekmedi açıkçası
Negative;Ürünü işini yapıyor fakat odayı soğuttuktan sonra tekrar ısıtıyor Yani 20 dereceye ayarladınız diyelim Oda 20 5 olunca duruyor ve 19 5 olunca tekrar çalıştırıyor bu aradaki 1 derecelik farkı da insanın üşümesine sebep oluyor Ben memnun kalmadım
Positive;Buğu yapmıyor. Sıkmıyor. Görüş açısı geniş
Positive;hıçkırıklar içinde hem aglafim hem okudum nasıl bir anlatım o
Positive;Çok güzel bir kitaptı kızım elinden düşürmüyor
